price,status,area,rate_per_sqft,property_type,locality,builder_name,rera_approval,bhk_count,society,company_name,flat_type
12900000.0,under construction,1276,10109,2 BHK Apartment in TATA Housing Development TATA La Vida,Sector 113,Property In Gurgaon,True,2, TATA Hous,TATA,apartment
24900000.000000004,under construction,2217,11231,3 BHK Apartment in TATA Housing Development TATA La Vida,Sector 113,properties for sale in Gurgaon,True,3, TATA Hous,TATA,apartment
10500000.0,ready to move,1962,5351,3 BHK Independent Floor,Sector51 Gurgaon,Growmax Wealth Management Services,False,3,Outside Socity,Outside,plot
21200000.0,ready to move,1975,10734,4 BHK Apartment in Emaar Emerald Floors Premier Phase 3,Sector 65,Growmax Wealth Management Services,False,4, Emaar Emerald Floors Premier Phase 3,Emaar,apartment
13500000.0,ready to move,1600,8437,3 BHK Independent Floor,Sushant Lok Phase 3,Growmax Wealth Management Services,False,3,Outside Socity,Outside,plot
17200000.0,ready to move,2150,8000,3 BHK Apartment in ATS Tourmaline,Sector 109,himanshu,False,3, ATS Tourmal,ATS,apartment
14000000.0,ready to move,1750,8000,3 BHK Apartment in ATS Tourmaline,Sector 109,JITENDER,False,3, ATS Tourmal,ATS,apartment
20600000.0,ready to move,2585,8000,3 BHK Apartment in ATS Tourmaline,Sector 109,himanshu,False,3, ATS Tourmal,ATS,apartment
25200000.0,ready to move,3150,8000,4 BHK Apartment in ATS Tourmaline,Sector 109,Truvisory Infratech,False,4, ATS Tourmal,ATS,apartment
2618000.0,under construction,721,3637,3 BHK Apartment in Pyramid Altia,Sector 70,Truvisory Infratech,True,3, Pyramid Altia,Pyramid,apartment
1396000.0,under construction,396,3534,1 BHK Apartment in Pyramid Altia,Sector 70,Truvisory Infratech,True,1, Pyramid Altia,Pyramid,apartment
1376000.0,under construction,394,3503,1 BHK Apartment in Pyramid Altia,Sector 70,Truvisory Infratech,True,1, Pyramid Altia,Pyramid,apartment
